"","year","state","pop"
"1",1900,"AL",1830000
"2",1901,"AL",1907000
"3",1902,"AL",1935000
"4",1903,"AL",1957000
"5",1904,"AL",1978000
"6",1905,"AL",2012000
"7",1906,"AL",2045000
"8",1907,"AL",2058000
"9",1908,"AL",2070000
"10",1909,"AL",2108000
"11",1910,"AL",2150000
"12",1911,"AL",2185000
"13",1912,"AL",2217000
"14",1913,"AL",2279000
"15",1914,"AL",2336000
"16",1915,"AL",2345000
"17",1916,"AL",2359000
"18",1917,"AL",2361000
"19",1918,"AL",2343000
"20",1919,"AL",2337000
"21",1920,"AL",2359000
"22",1921,"AL",2402000
"23",1922,"AL",2434000
"24",1923,"AL",2464000
"25",1924,"AL",2501000
"26",1925,"AL",2534000
"27",1926,"AL",2567000
"28",1927,"AL",2609000
"29",1928,"AL",2640000
"30",1929,"AL",2644000
"31",1930,"AL",2647000
"32",1931,"AL",2649000
"33",1932,"AL",2653000
"34",1933,"AL",2661000
"35",1934,"AL",2685000
"36",1935,"AL",2719000
"37",1936,"AL",2743000
"38",1937,"AL",2762000
"39",1938,"AL",2787000
"40",1939,"AL",2814000
"41",1940,"AL",2845000
"42",1941,"AL",2902000
"43",1942,"AL",2941000
"44",1943,"AL",2902000
"45",1944,"AL",2802000
"46",1945,"AL",2775000
"47",1946,"AL",2911000
"48",1947,"AL",2942000
"49",1948,"AL",2969000
"50",1949,"AL",3e+06
"51",1950,"AL",3058000
"52",1951,"AL",3059000
"53",1952,"AL",3068000
"54",1953,"AL",3053000
"55",1954,"AL",3014000
"56",1955,"AL",3050000
"57",1956,"AL",3071000
"58",1957,"AL",3109000
"59",1958,"AL",3163000
"60",1959,"AL",3204000
"61",1960,"AL",3274000
"62",1961,"AL",3316000
"63",1962,"AL",3323000
"64",1963,"AL",3358000
"65",1964,"AL",3395000
"66",1965,"AL",3443000
"67",1966,"AL",3464000
"68",1967,"AL",3458000
"69",1968,"AL",3446000
"70",1969,"AL",3440000
"71",1970,"AL",3444354
"72",1971,"AL",3497076
"73",1972,"AL",3539400
"74",1973,"AL",3579780
"75",1974,"AL",3626499
"76",1975,"AL",3678814
"77",1976,"AL",3735139
"78",1977,"AL",3780403
"79",1978,"AL",3831836
"80",1979,"AL",3866248
"81",1980,"AL",3900368
"82",1981,"AL",3918531
"83",1982,"AL",3925266
"84",1983,"AL",3934102
"85",1984,"AL",3951820
"86",1985,"AL",3972523
"87",1986,"AL",3991569
"88",1987,"AL",4015264
"89",1988,"AL",4023844
"90",1989,"AL",4030222
"91",1990,"AL",4048508
"92",1991,"AL",4091025
"93",1992,"AL",4139269
"94",1993,"AL",4193114
"95",1994,"AL",4232965
"96",1995,"AL",4262731
"97",1996,"AL",4290403
"98",1997,"AL",4320281
"99",1998,"AL",4351037
"100",1999,"AL",4369862
"101",2000,"AL",4452173
"102",2001,"AL",4467634
"103",2002,"AL",4480089
"104",2003,"AL",4503491
"105",2004,"AL",4530729
"106",2005,"AL",4569805
"107",2006,"AL",4628981
"108",2007,"AL",4672840
"109",2008,"AL",4718206
"110",2009,"AL",4757938
"111",2010,"AL",4785822
"112",2011,"AL",4801695
"113",2012,"AL",4817484
"114",2013,"AL",4833996
"115",2014,"AL",4849377
"116",2015,"AL",4858979
"117",1900,"AK",NA
"118",1901,"AK",NA
"119",1902,"AK",NA
"120",1903,"AK",NA
"121",1904,"AK",NA
"122",1905,"AK",NA
"123",1906,"AK",NA
"124",1907,"AK",NA
"125",1908,"AK",NA
"126",1909,"AK",NA
"127",1910,"AK",NA
"128",1911,"AK",NA
"129",1912,"AK",NA
"130",1913,"AK",NA
"131",1914,"AK",NA
"132",1915,"AK",NA
"133",1916,"AK",NA
"134",1917,"AK",NA
"135",1918,"AK",NA
"136",1919,"AK",NA
"137",1920,"AK",NA
"138",1921,"AK",NA
"139",1922,"AK",NA
"140",1923,"AK",NA
"141",1924,"AK",NA
"142",1925,"AK",NA
"143",1926,"AK",NA
"144",1927,"AK",NA
"145",1928,"AK",NA
